+/-,3PT,AST,BLK,DREB,FG,FT,Min,Name,OREB,PF,PTS,REB,STL,TO,date,game_id,starter,team,Position
--,0-0,0,1,3,4-5,0-0,21,S.  Williams,1,3,8,4,1,2,"November 7, 2006",261107005,1,Hawks,C
--,0-0,2,0,1,0-4,0-0,15,S.  Claxton,0,0,0,1,0,2,"November 7, 2006",261107005,1,Hawks,PG
--,3-3,5,0,8,8-17,6-11,46,J.  Johnson,0,4,25,8,1,6,"November 7, 2006",261107005,1,Hawks,SG
--,0-0,0,0,2,2-4,0-0,15,L.  Wright,1,3,4,3,0,2,"November 7, 2006",261107005,0,Hawks,PF
--,0-0,0,0,0,0-0,0-0,0,M.  Williams,0,0,0,0,0,0,"November 7, 2006",261107005,0,Hawks,PF
--,0-0,0,0,0,0-0,0-0,0,E.  Batista,0,0,0,0,0,0,"November 7, 2006",261107005,0,Hawks,PF
--,0-0,2,3,5,2-3,0-1,37,J.  Childress,0,5,4,5,0,1,"November 7, 2006",261107005,0,Hawks,SF
--,1-2,1,0,1,2-6,0-0,13,M.  Freije,0,0,5,1,1,0,"November 7, 2006",261107005,0,Hawks,SF
--,3-4,11,0,3,8-11,0-2,35,T.  Lue,0,4,19,3,0,1,"November 7, 2006",261107005,0,Hawks,PG
--,0-0,0,0,0,0-0,0-0,0,R.  Ivey,0,0,0,0,0,0,"November 7, 2006",261107005,0,Hawks,PG
--,1-1,0,1,3,2-2,0-0,13,C.  Bozeman,0,4,5,3,2,1,"November 7, 2006",261107005,0,Hawks,SG
--,0-0,0,0,0,0-0,0-0,0,S.  Stoudamire,0,0,0,0,0,0,"November 7, 2006",261107005,0,Hawks,SG
,,,,,,,Did not play,S.  Jones,,,,,,,"November 7, 2006",261107005,0,Hawks,PF
--,0-2,0,1,7,6-16,9-12,36,D.  Gooden,7,6,21,14,1,1,"November 7, 2006",261107005,1,Cavaliers,PF
--,3-8,6,1,7,13-26,5-11,47,L.  James,0,1,34,7,2,2,"November 7, 2006",261107005,1,Cavaliers,SF
--,0-0,1,2,3,4-11,0-0,24,Z.  Ilgauskas,7,2,8,10,0,0,"November 7, 2006",261107005,1,Cavaliers,C
--,0-0,6,0,3,0-2,0-0,29,E.  Snow,0,4,0,3,0,0,"November 7, 2006",261107005,1,Cavaliers,PG
--,1-1,3,2,3,4-12,8-8,49,L.  Hughes,0,4,17,3,0,3,"November 7, 2006",261107005,1,Cavaliers,SG
--,0-0,0,0,0,0-0,0-0,0,D.  Jones II,0,0,0,0,0,0,"November 7, 2006",261107005,0,Cavaliers,PF
--,1-3,0,1,2,5-12,1-4,28,D.  Marshall,4,2,12,6,0,1,"November 7, 2006",261107005,0,Cavaliers,PF
--,0-0,0,0,0,0-0,0-0,0,I.  Newble,0,0,0,0,0,0,"November 7, 2006",261107005,0,Cavaliers,SF
--,0-0,0,2,0,0-2,0-2,12,A.  Varejao,1,2,0,1,0,1,"November 7, 2006",261107005,0,Cavaliers,C
--,0-0,0,0,0,0-2,0-0,5,S.  Brown,1,1,0,1,0,1,"November 7, 2006",261107005,0,Cavaliers,PG
--,1-3,0,0,1,1-4,0-0,20,D.  Jones,0,3,3,1,0,2,"November 7, 2006",261107005,0,Cavaliers,PG
--,0-3,2,1,1,0-4,0-0,15,D.  Wesley,0,1,0,1,2,0,"November 7, 2006",261107005,0,Cavaliers,SG
--,0-0,0,0,0,0-0,0-0,0,D.  Gibson,0,0,0,0,0,0,"November 7, 2006",261107005,0,Cavaliers,SG
,,,,,,,Did not play,S.  Pollard,,,,,,,"November 7, 2006",261107005,0,Cavaliers,C
,,,,,,,Did not play,S.  Pavlovic,,,,,,,"November 7, 2006",261107005,0,Cavaliers,SG
--,4-7,5,1,5,10-16,5-5,36,J.  Smith,2,3,29,7,1,2,"November 10, 2006",261110028,1,Hawks,PF
--,0-0,2,2,4,3-7,3-8,30,Z.  Pachulia,1,4,9,5,1,2,"November 10, 2006",261110028,1,Hawks,C
--,0-0,0,0,5,4-4,0-0,15,S.  Williams,2,4,8,7,0,2,"November 10, 2006",261110028,1,Hawks,C
--,3-5,5,0,6,12-20,7-8,42,J.  Johnson,2,1,34,8,1,2,"November 10, 2006",261110028,1,Hawks,SG
--,0-3,0,0,3,1-5,0-0,20,C.  Bozeman,0,4,2,3,0,1,"November 10, 2006",261110028,1,Hawks,SG
--,0-0,0,0,3,1-2,0-0,18,L.  Wright,1,1,2,4,0,0,"November 10, 2006",261110028,0,Hawks,PF
--,0-0,0,0,0,0-0,0-0,0,M.  Williams,0,0,0,0,0,0,"November 10, 2006",261110028,0,Hawks,PF
--,0-0,0,0,0,0-0,0-0,0,E.  Batista,0,0,0,0,0,0,"November 10, 2006",261110028,0,Hawks,PF
--,0-0,0,1,2,0-0,0-0,5,S.  Jones,1,0,0,3,0,0,"November 10, 2006",261110028,0,Hawks,PF
--,0-3,1,1,4,7-14,2-3,36,J.  Childress,1,1,16,5,1,1,"November 10, 2006",261110028,0,Hawks,SF
--,0-3,0,1,3,0-3,0-0,8,M.  Freije,0,0,0,3,1,1,"November 10, 2006",261110028,0,Hawks,SF
--,0-0,0,0,0,0-0,0-0,0,S.  Claxton,0,0,0,0,0,0,"November 10, 2006",261110028,0,Hawks,PG
--,1-4,4,0,4,3-11,4-4,30,T.  Lue,0,2,11,4,0,3,"November 10, 2006",261110028,0,Hawks,PG
,,,,,,,Did not play,R.  Ivey,,,,,,,"November 10, 2006",261110028,0,Hawks,PG
,,,,,,,Did not play,S.  Stoudamire,,,,,,,"November 10, 2006",261110028,0,Hawks,SG
--,0-0,6,2,11,7-16,5-9,40,C.  Bosh,6,2,19,17,0,2,"November 10, 2006",261110028,1,Raptors,PF
--,0-0,0,0,3,1-2,0-0,13,R.  Nesterovic,0,2,2,3,0,0,"November 10, 2006",261110028,1,Raptors,C
--,2-3,11,0,2,5-13,5-6,30,T.J. ,1,1,17,3,0,3,"November 10, 2006",261110028,1,Raptors,PG
--,0-3,1,1,0,4-12,0-0,24,A.  Parker,1,4,8,1,1,0,"November 10, 2006",261110028,1,Raptors,SG
--,3-5,0,1,6,7-11,1-1,39,M.  Peterson,0,1,18,6,1,1,"November 10, 2006",261110028,1,Raptors,SG
--,0-0,0,0,2,1-2,0-0,10,K.  Humphries,0,1,2,2,0,2,"November 10, 2006",261110028,0,Raptors,PF
--,0-0,0,0,0,0-0,0-0,0,P.  Sow,0,0,0,0,0,0,"November 10, 2006",261110028,0,Raptors,PF
--,0-0,0,0,0,0-0,0-0,0,U.  Slokar,0,0,0,0,0,0,"November 10, 2006",261110028,0,Raptors,PF
--,0-1,2,0,2,0-2,0-0,13,J.  Garbajosa,0,0,0,2,0,1,"November 10, 2006",261110028,0,Raptors,PF
--,0-0,0,0,0,1-3,0-0,15,J.  Graham,0,2,2,0,0,1,"November 10, 2006",261110028,0,Raptors,SF
--,0-0,0,0,0,0-0,0-0,0,P.  Tucker,0,0,0,0,0,0,"November 10, 2006",261110028,0,Raptors,SF
--,0-0,0,0,1,2-3,0-0,10,A.  Bargnani,0,4,4,1,0,2,"November 10, 2006",261110028,0,Raptors,C
--,0-0,0,0,0,0-0,0-0,0,D.  Martin,0,0,0,0,0,0,"November 10, 2006",261110028,0,Raptors,PG
--,1-2,4,0,3,6-11,0-0,19,J.  Calderon,0,2,13,3,1,2,"November 10, 2006",261110028,0,Raptors,PG
--,3-5,3,0,0,7-13,0-0,27,F.  Jones,2,6,17,2,1,1,"November 10, 2006",261110028,0,Raptors,SG
--,2-6,3,0,2,9-18,3-4,46,R.  Lewis,2,3,23,4,1,2,"November 11, 2006",261111001,1,SuperSonics,PF
--,0-0,3,1,12,5-6,2-2,40,C.  Wilcox,3,4,12,15,0,0,"November 11, 2006",261111001,1,SuperSonics,PF
--,0-0,0,0,2,2-7,0-0,18,J.  Petro,0,3,4,2,0,0,"November 11, 2006",261111001,1,SuperSonics,C
--,2-3,5,1,1,7-14,3-4,41,L.  Ridnour,0,1,19,1,0,2,"November 11, 2006",261111001,1,SuperSonics,PG
--,1-6,4,1,5,14-30,4-4,46,R.  Allen,0,4,33,5,2,1,"November 11, 2006",261111001,1,SuperSonics,SG
--,0-0,4,3,2,5-8,2-2,33,N.  Collison,3,4,12,5,0,0,"November 11, 2006",261111001,0,SuperSonics,F
--,0-0,0,0,0,0-0,0-0,0,M.  Sene,0,0,0,0,0,0,"November 11, 2006",261111001,0,SuperSonics,C
--,0-0,0,0,0,0-0,0-0,0,R.  Swift,0,0,0,0,0,0,"November 11, 2006",261111001,0,SuperSonics,C
--,0-1,0,0,3,1-3,2-3,8,D.  Fortson,1,2,4,4,0,1,"November 11, 2006",261111001,0,SuperSonics,C
--,1-2,0,1,0,1-5,0-0,19,E.  Watson,1,1,3,1,1,1,"November 11, 2006",261111001,0,SuperSonics,PG
--,0-0,0,0,0,0-0,0-0,0,D.  Farmer,0,0,0,0,0,0,"November 11, 2006",261111001,0,SuperSonics,SG
--,0-0,1,0,0,0-3,3-4,15,D.  Wilkins,3,2,3,3,0,0,"November 11, 2006",261111001,0,SuperSonics,SG
,,,,,,,Did not play,M.  Gelabale,,,,,,,"November 11, 2006",261111001,0,SuperSonics,SF
,,,,,,,Did not play,A.  Glyniadakis,,,,,,,"November 11, 2006",261111001,0,SuperSonics,C
,,,,,,,Did not play,M.  Wilks,,,,,,,"November 11, 2006",261111001,0,SuperSonics,PG
--,3-10,3,2,5,9-20,3-6,49,J.  Smith,2,3,24,7,1,3,"November 11, 2006",261111001,1,Hawks,PF
--,0-0,2,1,4,8-14,5-7,44,Z.  Pachulia,4,5,21,8,0,2,"November 11, 2006",261111001,1,Hawks,C
--,0-0,1,0,6,1-2,0-0,20,S.  Williams,1,0,2,7,0,1,"November 11, 2006",261111001,1,Hawks,C
--,3-14,3,0,9,12-30,1-3,47,J.  Johnson,1,1,28,10,0,4,"November 11, 2006",261111001,1,Hawks,SG
--,0-0,4,0,3,1-3,1-2,21,C.  Bozeman,0,3,3,3,0,0,"November 11, 2006",261111001,1,Hawks,SG
--,0-0,0,0,2,1-1,1-2,9,L.  Wright,0,4,3,2,0,0,"November 11, 2006",261111001,0,Hawks,PF
--,0-0,0,0,0,0-0,0-0,0,M.  Williams,0,0,0,0,0,0,"November 11, 2006",261111001,0,Hawks,PF
--,0-0,0,0,0,0-0,0-0,0,E.  Batista,0,0,0,0,0,0,"November 11, 2006",261111001,0,Hawks,PF
--,1-1,3,0,1,5-6,6-8,40,J.  Childress,4,2,17,5,1,2,"November 11, 2006",261111001,0,Hawks,SF
--,0-0,0,0,0,0-0,0-0,0,S.  Claxton,0,0,0,0,0,0,"November 11, 2006",261111001,0,Hawks,PG
--,2-3,8,0,3,4-8,4-5,35,T.  Lue,2,1,14,5,1,2,"November 11, 2006",261111001,0,Hawks,PG
,,,,,,,Did not play,S.  Jones,,,,,,,"November 11, 2006",261111001,0,Hawks,PF
,,,,,,,Did not play,M.  Freije,,,,,,,"November 11, 2006",261111001,0,Hawks,SF
,,,,,,,Did not play,R.  Ivey,,,,,,,"November 11, 2006",261111001,0,Hawks,PG
,,,,,,,Did not play,S.  Stoudamire,,,,,,,"November 11, 2006",261111001,0,Hawks,SG
--,0-0,0,0,3,7-13,2-3,35,R.  Patterson,2,4,16,5,2,3,"November 14, 2006",261114001,1,Bucks,PF
--,0-0,1,1,3,1-3,0-0,14,B.  Skinner,1,5,2,4,0,0,"November 14, 2006",261114001,1,Bucks,PF
--,1-2,0,0,2,1-3,4-6,14,E.  Ilyasova,2,1,7,4,0,1,"November 14, 2006",261114001,1,Bucks,PF
--,1-1,1,0,0,3-3,5-5,15,C.  Villanueva,0,1,12,0,1,2,"November 14, 2006",261114001,1,Bucks,PF
--,0-0,0,0,0,0-0,0-0,0,B.  Simmons,0,0,0,0,0,0,"November 14, 2006",261114001,1,Bucks,SF
--,0-0,0,0,0,3-4,0-1,11,D.  Gadzuric,1,4,6,1,0,1,"November 14, 2006",261114001,0,Bucks,C
--,0-0,0,0,6,6-8,1-3,40,A.  Bogut,2,2,13,8,0,6,"November 14, 2006",261114001,0,Bucks,C
--,0-0,0,0,0,0-1,2-4,9,S.  Blake,0,0,2,0,1,0,"November 14, 2006",261114001,0,Bucks,PG
--,1-3,6,0,3,6-14,2-2,39,M.  Williams,1,4,15,4,0,4,"November 14, 2006",261114001,0,Bucks,PG
--,0-0,0,0,0,0-0,0-0,0,L.  Greer,0,0,0,0,0,0,"November 14, 2006",261114001,0,Bucks,PG
--,1-5,1,0,6,10-20,9-13,42,M.  Redd,1,2,30,7,2,0,"November 14, 2006",261114001,0,Bucks,SG
--,0-0,1,0,0,0-4,0-0,22,C.  Bell,0,2,0,0,0,0,"November 14, 2006",261114001,0,Bucks,SG
--,0-0,0,0,0,0-0,0-0,0,C.  McCray,0,0,0,0,0,0,"November 14, 2006",261114001,0,Bucks,SG
,,,,,,,Did not play,D.  Markota,,,,,,,"November 14, 2006",261114001,0,Bucks,PF
,,,,,,,Did not play,D.  Noel,,,,,,,"November 14, 2006",261114001,0,Bucks,SF
--,0-0,0,1,5,2-4,0-2,21,L.  Wright,3,3,4,8,1,1,"November 14, 2006",261114001,1,Hawks,PF
--,1-5,2,3,1,1-12,1-4,32,J.  Smith,4,6,4,5,3,4,"November 14, 2006",261114001,1,Hawks,PF
--,0-0,0,0,0,0-0,0-0,0,M.  Williams,0,0,0,0,0,0,"November 14, 2006",261114001,1,Hawks,PF
--,0-0,0,0,0,0-0,0-0,0,E.  Batista,0,0,0,0,0,0,"November 14, 2006",261114001,1,Hawks,PF
--,2-4,1,1,5,9-13,1-1,38,J.  Childress,2,4,21,7,0,1,"November 14, 2006",261114001,1,Hawks,SF
--,0-0,0,0,0,0-0,0-0,1,M.  Freije,0,1,0,0,0,0,"November 14, 2006",261114001,0,Hawks,SF
--,0-0,2,0,3,3-6,2-2,27,Z.  Pachulia,1,4,8,4,1,2,"November 14, 2006",261114001,0,Hawks,C
--,0-0,1,0,10,2-6,0-0,30,S.  Williams,5,2,4,15,0,4,"November 14, 2006",261114001,0,Hawks,C
--,0-0,0,0,0,0-0,0-0,0,S.  Claxton,0,0,0,0,0,0,"November 14, 2006",261114001,0,Hawks,PG
--,2-6,7,0,1,10-17,7-7,39,T.  Lue,0,0,29,1,0,1,"November 14, 2006",261114001,0,Hawks,PG
--,3-6,1,0,5,10-18,6-6,38,J.  Johnson,0,5,29,5,3,3,"November 14, 2006",261114001,0,Hawks,SG
--,0-1,1,0,0,1-2,0-0,5,S.  Stoudamire,0,3,2,0,0,1,"November 14, 2006",261114001,0,Hawks,SG
--,0-1,0,0,0,0-2,0-0,10,C.  Bozeman,0,1,0,0,0,0,"November 14, 2006",261114001,0,Hawks,SG
,,,,,,,Did not play,S.  Jones,,,,,,,"November 14, 2006",261114001,0,Hawks,PF
,,,,,,,Did not play,R.  Ivey,,,,,,,"November 14, 2006",261114001,0,Hawks,PG
--,0-6,2,0,1,2-12,0-2,32,A.  Walker,1,3,4,2,1,2,"November 18, 2006",261118001,1,Heat,PF
--,0-0,2,0,13,7-12,7-7,49,U.  Haslem,4,3,21,17,0,3,"November 18, 2006",261118001,1,Heat,PF
--,0-0,0,4,5,4-12,1-2,35,A.  Mourning,4,6,9,9,0,1,"November 18, 2006",261118001,1,Heat,C
--,0-2,1,0,1,0-7,0-0,17,G.  Payton,0,2,0,1,2,1,"November 18, 2006",261118001,1,Heat,PG
--,1-2,9,2,5,11-25,14-17,49,D.  Wade,2,3,37,7,2,6,"November 18, 2006",261118001,1,Heat,SG
--,0-1,0,0,10,1-5,0-0,21,D.  Wright,0,4,2,10,1,0,"November 18, 2006",261118001,0,Heat,SF
--,0-0,0,1,2,0-0,0-0,10,J.  Posey,0,0,0,2,0,0,"November 18, 2006",261118001,0,Heat,SF
--,0-0,0,0,3,3-3,2-2,10,M.  Doleac,1,5,8,4,0,0,"November 18, 2006",261118001,0,Heat,C
--,0-0,0,0,0,0-0,0-0,0,S.  O'Neal,0,0,0,0,0,0,"November 18, 2006",261118001,0,Heat,C
--,0-0,0,0,0,0-0,0-0,0,C.  Quinn,0,0,0,0,0,0,"November 18, 2006",261118001,0,Heat,PG
